id,title,description,difficulty_level,created_at,updated_at,examples,constraints,test_cases
209,Word Search,"Given an m x n grid of characters board and a string word, return 1 if word exists in the grid. The word can be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once.",Medium,2025-03-16T17:11:08.445528+00:00,2025-03-16T17:11:08.445528+00:00,"[{""input"": {""word"": ""ABCCED"", ""board"": [[""A"", ""B"", ""C"", ""E""], [""S"", ""F"", ""C"", ""S""], [""A"", ""D"", ""E"", ""E""]]}, ""output"": 1}, {""input"": {""word"": ""SEE"", ""board"": [[""A"", ""B"", ""C"", ""E""], [""S"", ""F"", ""C"", ""S""], [""A"", ""D"", ""E"", ""E""]]}, ""output"": 1}]","[""board[i][j] and word consist of only uppercase and lowercase English letters."", ""1 <= word.length <= 15"", ""1 <= m, n <= 6"", ""n == board[i].length"", ""m == board.length""]","[{""input"": {""word"": ""ABCCED"", ""board"": [[""A"", ""B"", ""C"", ""E""], [""S"", ""F"", ""C"", ""S""], [""A"", ""D"", ""E"", ""E""]]}, ""expected_output"": 1}, {""input"": {""word"": ""SEE"", ""board"": [[""A"", ""B"", ""C"", ""E""], [""S"", ""F"", ""C"", ""S""], [""A"", ""D"", ""E"", ""E""]]}, ""expected_output"": 1}, {""input"": {""word"": ""ABCB"", ""board"": [[""A"", ""B"", ""C"", ""E""], [""S"", ""F"", ""C"", ""S""], [""A"", ""D"", ""E"", ""E""]]}, ""expected_output"": 0}, {""input"": {""word"": ""a"", ""board"": [[""a""]]}, ""expected_output"": 1}, {""input"": {""word"": ""aaa"", ""board"": [[""a"", ""a""]]}, ""expected_output"": 0}]"
210,Maximum Width Ramp in Binary Tree,"Given the root of a binary tree, find the maximum width ramp. A ramp is defined as a pair (i, j) where i < j, and node values at depth i and depth j are equal (root is depth 0). The width of a ramp (i, j) is j - i. Return the maximum width of a ramp in the tree. If no ramp exists, return 0.",Hard,2025-03-16T17:11:22.469301+00:00,2025-03-16T17:11:22.469301+00:00,"[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": null}}}, ""output"": 2}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""output"": 0}]","[""0 <= Node.val <= 3000"", ""The number of nodes in the tree is in the range [1, 3000].""]","[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": null}}}, ""expected_output"": 2}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 1, ""left"": null, ""right"": null}, ""right"": {""val"": 1, ""left"": null, ""right"": null}}}, ""expected_output"": 0}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": 1, ""left"": null, ""right"": null}, ""right"": {""val"": 1, ""left"": {""val"": 1, ""left"": null, ""right"": null}, ""right"": null}}}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 7, ""left"": {""val"": 3, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}}, ""expected_output"": 1}]"
211,Shortest Path in a Binary Matrix,"Given an n x n binary matrix grid, return the length of the shortest path from top-left (0, 0) to bottom-right (n - 1, n - 1). If no such path exists, return 0. The path can only move to cells that contain 0. The path can move in 8 directions (horizontally, vertically, and diagonally).",Medium,2025-03-16T17:12:46.669738+00:00,2025-03-16T17:12:46.669738+00:00,"[{""input"": {""grid"": [[0, 1], [1, 0]]}, ""output"": 0}, {""input"": {""grid"": [[0, 0, 0], [1, 1, 0], [1, 1, 0]]}, ""output"": 0}]","[""grid[i][j] is 0 or 1."", ""1 <= n <= 100"", ""n == grid[i].length"", ""n == grid.length""]","[{""input"": {""grid"": [[0, 1], [1, 0]]}, ""expected_output"": 0}, {""input"": {""grid"": [[0, 0, 0], [1, 1, 0], [1, 1, 0]]}, ""expected_output"": 0}, {""input"": {""grid"": [[0, 0, 0], [1, 1, 0], [1, 0, 0]]}, ""expected_output"": 0}, {""input"": {""grid"": [[0, 0], [0, 0]]}, ""expected_output"": 0}, {""input"": {""grid"": [[1, 0, 0], [1, 1, 0], [1, 1, 0]]}, ""expected_output"": 0}]"
212,Valid Parentheses,"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid.

An input string is valid if:

1. Open brackets must be closed by the same type of brackets.
2. Open brackets must be closed in the correct order.
3. Every close bracket has a corresponding open bracket of the same type.

Return 1 if the string is valid, and 0 otherwise.",Easy,2025-03-16T17:12:58.929417+00:00,2025-03-16T17:12:58.929417+00:00,"[{""input"": {""s"": ""()""}, ""output"": 1}, {""input"": {""s"": ""()[]{}""}, ""output"": 1}]","[""s consists of parentheses only '()[]{}'."", ""1 <= s.length <= 10^4""]","[{""input"": {""s"": ""()""}, ""expected_output"": 1}, {""input"": {""s"": ""()[]{}""}, ""expected_output"": 1}, {""input"": {""s"": ""(]""}, ""expected_output"": 0}, {""input"": {""s"": ""]""}, ""expected_output"": 0}, {""input"": {""s"": ""([)]""}, ""expected_output"": 0}]"
213,Palindrome Number,"Given an integer x, return 1 if x is a palindrome, and 0 otherwise.",Easy,2025-03-16T17:13:10.402935+00:00,2025-03-16T17:13:10.402935+00:00,"[{""input"": {""x"": 121}, ""output"": 1}, {""input"": {""x"": -121}, ""output"": 0}]","[""-2^31 <= x <= 2^31 - 1""]","[{""input"": {""x"": 121}, ""expected_output"": 1}, {""input"": {""x"": -121}, ""expected_output"": 0}, {""input"": {""x"": 10}, ""expected_output"": 0}, {""input"": {""x"": 12321}, ""expected_output"": 1}, {""input"": {""x"": 0}, ""expected_output"": 1}]"
215,Array Contains Duplicate,"Given an integer array nums, return 1 if any value appears at least twice in the array, and return 0 if every element is distinct.",Easy,2025-03-16T17:13:49.132848+00:00,2025-03-16T17:13:49.132848+00:00,"[{""input"": {""nums"": [1, 2, 3, 1]}, ""output"": 1}, {""input"": {""nums"": [1, 2, 3, 4]}, ""output"": 0}]","[""-10^9 <= nums[i] <= 10^9"", ""1 <= nums.length <= 10^5""]","[{""input"": {""nums"": [1, 2, 3, 1]}, ""expected_output"": 1}, {""input"": {""nums"": [1, 2, 3, 4]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 1, 1, 3, 3, 4, 3, 2, 4, 2]}, ""expected_output"": 1}, {""input"": {""nums"": [1]}, ""expected_output"": 0}, {""input"": {""nums"": [1, 2, 3, 4, 5]}, ""expected_output"": 0}]"
216,Range Sum Query - Update Value,"Given an array of integers, implement a Binary Indexed Tree (Fenwick Tree) to efficiently calculate prefix sums and update individual element values. You are given an initial array and a series of update operations. After all updates, determine if the sum of the entire array is even (return 1) or odd (return 0). Each update operation replaces the value at a specific index with a new value.",Easy,2025-03-16T17:14:43.230647+00:00,2025-03-16T17:14:43.230647+00:00,"[{""input"": {""updates"": [{""index"": 0, ""new_value"": 6}, {""index"": 2, ""new_value"": 1}], ""initial_array"": [1, 2, 3, 4, 5]}, ""output"": 0}, {""input"": {""updates"": [{""index"": 1, ""new_value"": 3}, {""index"": 3, ""new_value"": 5}], ""initial_array"": [1, 2, 3, 4, 5]}, ""output"": 1}]","[""1 \u2264 updates[i].new_value \u2264 10^4"", ""0 \u2264 updates[i].index < initial_array.length"", ""0 \u2264 updates.length \u2264 10^3"", ""1 \u2264 initial_array[i] \u2264 10^4"", ""1 \u2264 initial_array.length \u2264 10^4""]","[{""input"": {""updates"": [{""index"": 0, ""new_value"": 6}, {""index"": 2, ""new_value"": 1}], ""initial_array"": [1, 2, 3, 4, 5]}, ""expected_output"": 0}, {""input"": {""updates"": [{""index"": 1, ""new_value"": 3}, {""index"": 3, ""new_value"": 5}], ""initial_array"": [1, 2, 3, 4, 5]}, ""expected_output"": 1}, {""input"": {""updates"": [{""index"": 0, ""new_value"": 1}], ""initial_array"": [2, 4, 6, 8]}, ""expected_output"": 1}, {""input"": {""updates"": [], ""initial_array"": [1, 3, 5, 7]}, ""expected_output"": 0}, {""input"": {""updates"": [{""index"": 0, ""new_value"": 3}, {""index"": 1, ""new_value"": 5}, {""index"": 2, ""new_value"": 7}, {""index"": 3, ""new_value"": 9}], ""initial_array"": [2, 4, 6, 8]}, ""expected_output"": 0}]"
217,Square Root Sum,"Given an integer n, determine if it can be expressed as the sum of square roots of two integers. Return 1 if it can, otherwise return 0.",Medium,2025-03-16T17:14:57.107520+00:00,2025-03-16T17:14:57.107520+00:00,"[{""input"": {""n"": 5}, ""output"": 1}, {""input"": {""n"": 7}, ""output"": 0}]","[""1 \u2264 n \u2264 1000""]","[{""input"": {""n"": 5}, ""expected_output"": 1}, {""input"": {""n"": 7}, ""expected_output"": 0}, {""input"": {""n"": 1}, ""expected_output"": 1}, {""input"": {""n"": 2}, ""expected_output"": 0}, {""input"": {""n"": 10}, ""expected_output"": 1}]"
218,Maximum Subset XOR,"Given an array of integers, find the maximum XOR value of any subset of the array. Return this maximum XOR value.",Hard,2025-03-16T17:15:27.387865+00:00,2025-03-16T17:15:27.387865+00:00,"[{""input"": {""nums"": [8, 10, 2]}, ""output"": 10}, {""input"": {""nums"": [1, 2, 4]}, ""output"": 7}]","[""0 <= nums[i] <= 1000"", ""1 <= nums.length <= 100""]","[{""input"": {""nums"": [8, 10, 2]}, ""expected_output"": 10}, {""input"": {""nums"": [1, 2, 4]}, ""expected_output"": 7}, {""input"": {""nums"": [4, 6, 7]}, ""expected_output"": 7}, {""input"": {""nums"": [1, 5, 6]}, ""expected_output"": 7}, {""input"": {""nums"": [0]}, ""expected_output"": 0}]"
219,Maximum Path Sum in a Binary Tree (Existence),"Given a binary tree, determine if there exists a path from any node to any node (can be the same node) such that the sum of the nodes in the path equals the given target. Return 1 if such a path exists, and 0 otherwise.",Hard,2025-03-16T17:15:42.436884+00:00,2025-03-16T17:15:42.436884+00:00,"[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target"": 6}, ""output"": 1}, {""input"": {""root"": {""val"": -10, ""left"": {""val"": 9, ""left"": null, ""right"": null}, ""right"": {""val"": 20, ""left"": {""val"": 15, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}}, ""target"": 42}, ""output"": 1}]","[""-3 * 10^7 <= target <= 3 * 10^7"", ""-1000 <= Node.val <= 1000"", ""The number of nodes in the tree is in the range [0, 3 * 10^4].""]","[{""input"": {""root"": {""val"": 1, ""left"": {""val"": 2, ""left"": null, ""right"": null}, ""right"": {""val"": 3, ""left"": null, ""right"": null}}, ""target"": 6}, ""expected_output"": 1}, {""input"": {""root"": {""val"": -10, ""left"": {""val"": 9, ""left"": null, ""right"": null}, ""right"": {""val"": 20, ""left"": {""val"": 15, ""left"": null, ""right"": null}, ""right"": {""val"": 7, ""left"": null, ""right"": null}}}, ""target"": 42}, ""expected_output"": 1}, {""input"": {""root"": {""val"": -3}, ""target"": -3}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 1, ""left"": {""val"": -2, ""left"": null, ""right"": null}, ""right"": {""val"": -3, ""left"": null, ""right"": null}}, ""target"": -5}, ""expected_output"": 1}, {""input"": {""root"": {""val"": 5, ""left"": {""val"": 4, ""left"": {""val"": 11, ""left"": {""val"": 7, ""left"": null, ""right"": null}, ""right"": {""val"": 2, ""left"": null, ""right"": null}}, ""right"": null}, ""right"": {""val"": 8, ""left"": {""val"": 13, ""left"": null, ""right"": null}, ""right"": {""val"": 4, ""left"": null, ""right"": {""val"": 1, ""left"": null, ""right"": null}}}}, ""target"": 22}, ""expected_output"": 1}]"
220,Minimum Cost Maximum Flow,"Given a directed graph with 'n' nodes and 'm' edges, where each edge has a capacity and a cost per unit of flow. Find the minimum cost to send the maximum possible flow from a source node 's' to a sink node 't'. Return the minimum cost. If it's not possible to send any flow from 's' to 't', return -1.",Hard,2025-03-16T17:15:57.643142+00:00,2025-03-16T17:15:57.643142+00:00,"[{""input"": {""m"": 5, ""n"": 4, ""s"": 0, ""t"": 3, ""edges"": [{""u"": 0, ""v"": 1, ""cost"": 1, ""capacity"": 10}, {""u"": 0, ""v"": 2, ""cost"": 2, ""capacity"": 5}, {""u"": 1, ""v"": 2, ""cost"": 3, ""capacity"": 3}, {""u"": 1, ""v"": 3, ""cost"": 2, ""capacity"": 7}, {""u"": 2, ""v"": 3, ""cost"": 1, ""capacity"": 12}]}, ""output"": 34}, {""input"": {""m"": 3, ""n"": 3, ""s"": 0, ""t"": 2, ""edges"": [{""u"": 0, ""v"": 1, ""cost"": 1, ""capacity"": 5}, {""u"": 1, ""v"": 2, ""cost"": 2, ""capacity"": 7}, {""u"": 0, ""v"": 2, ""cost"": 5, ""capacity"": 3}]}, ""output"": 22}]","[""1 <= cost <= 1000"", ""1 <= capacity <= 1000"", ""0 <= u, v < n"", ""0 <= s, t < n"", ""1 <= m <= 1000"", ""2 <= n <= 100""]","[{""input"": {""m"": 5, ""n"": 4, ""s"": 0, ""t"": 3, ""edges"": [{""u"": 0, ""v"": 1, ""cost"": 1, ""capacity"": 10}, {""u"": 0, ""v"": 2, ""cost"": 2, ""capacity"": 5}, {""u"": 1, ""v"": 2, ""cost"": 3, ""capacity"": 3}, {""u"": 1, ""v"": 3, ""cost"": 2, ""capacity"": 7}, {""u"": 2, ""v"": 3, ""cost"": 1, ""capacity"": 12}]}, ""expected_output"": 34}, {""input"": {""m"": 3, ""n"": 3, ""s"": 0, ""t"": 2, ""edges"": [{""u"": 0, ""v"": 1, ""cost"": 1, ""capacity"": 5}, {""u"": 1, ""v"": 2, ""cost"": 2, ""capacity"": 7}, {""u"": 0, ""v"": 2, ""cost"": 5, ""capacity"": 3}]}, ""expected_output"": 22}, {""input"": {""m"": 1, ""n"": 2, ""s"": 0, ""t"": 1, ""edges"": [{""u"": 0, ""v"": 1, ""cost"": 5, ""capacity"": 10}]}, ""expected_output"": 50}, {""input"": {""m"": 2, ""n"": 3, ""s"": 0, ""t"": 2, ""edges"": [{""u"": 0, ""v"": 1, ""cost"": 2, ""capacity"": 5}, {""u"": 1, ""v"": 2, ""cost"": 1, ""capacity"": 3}]}, ""expected_output"": 13}, {""input"": {""m"": 3, ""n"": 4, ""s"": 0, ""t"": 3, ""edges"": [{""u"": 0, ""v"": 1, ""cost"": 1, ""capacity"": 10}, {""u"": 1, ""v"": 2, ""cost"": 2, ""capacity"": 5}, {""u"": 2, ""v"": 3, ""cost"": 3, ""capacity"": 8}]}, ""expected_output"": 44}]"
221,Is Power of Two,"Given an integer n, return 1 if it is a power of two. Otherwise, return 0. An integer n is a power of two, if there exists an integer x such that n == 2^x.",Easy,2025-03-16T17:16:33.673507+00:00,2025-03-16T17:16:33.673507+00:00,"[{""input"": {""n"": 1}, ""output"": 1}, {""input"": {""n"": 16}, ""output"": 1}]","[""-2^31 <= n <= 2^31 - 1""]","[{""input"": {""n"": 1}, ""expected_output"": 1}, {""input"": {""n"": 16}, ""expected_output"": 1}, {""input"": {""n"": 3}, ""expected_output"": 0}, {""input"": {""n"": 0}, ""expected_output"": 0}, {""input"": {""n"": 5}, ""expected_output"": 0}]"
222,Non-overlapping Intervals,"Given a collection of intervals, find the minimum number of intervals you need to remove to make the rest of the intervals non-overlapping. An interval [a,b] overlaps with [c,d] if a < d and c < b.",Easy,2025-03-16T17:16:45.983113+00:00,2025-03-16T17:16:45.983113+00:00,"[{""input"": {""intervals"": [[1, 2], [2, 3], [3, 4], [1, 3]]}, ""output"": 1}, {""input"": {""intervals"": [[1, 2], [1, 2], [1, 2]]}, ""output"": 2}]","[""-5 * 10^4 <= starti < endi <= 5 * 10^4"", ""intervals[i].length == 2"", ""1 <= intervals.length <= 2 * 10^4""]","[{""input"": {""intervals"": [[1, 2], [2, 3], [3, 4], [1, 3]]}, ""expected_output"": 1}, {""input"": {""intervals"": [[1, 2], [1, 2], [1, 2]]}, ""expected_output"": 2}, {""input"": {""intervals"": [[1, 2], [2, 3]]}, ""expected_output"": 0}, {""input"": {""intervals"": [[1, 100], [11, 22], [1, 11], [2, 12]]}, ""expected_output"": 2}, {""input"": {""intervals"": [[0, 2], [1, 3], [2, 4], [3, 5], [4, 6]]}, ""expected_output"": 2}]"
223,Linked List Contains Value,"Given the head of a singly linked list and an integer value, return 1 if the linked list contains the value, otherwise return 0. The value of each node in the linked list is an integer.",Easy,2025-03-16T17:16:58.352811+00:00,2025-03-16T17:16:58.352811+00:00,"[{""input"": {""head"": [1, 2, 3, 4, 5], ""value"": 3}, ""output"": 1}, {""input"": {""head"": [1, 2, 3, 4, 5], ""value"": 6}, ""output"": 0}]","[""The target value is between -100 and 100."", ""Each node's value is between -100 and 100."", ""The linked list can have between 0 and 100 nodes.""]","[{""input"": {""head"": [1, 2, 3, 4, 5], ""value"": 3}, ""expected_output"": 1}, {""input"": {""head"": [1, 2, 3, 4, 5], ""value"": 6}, ""expected_output"": 0}, {""input"": {""head"": [], ""value"": 1}, ""expected_output"": 0}, {""input"": {""head"": [1], ""value"": 1}, ""expected_output"": 1}, {""input"": {""head"": [1, 1, 1, 1, 1], ""value"": 1}, ""expected_output"": 1}]"
224,Path Existence in a Graph,"Given an undirected graph represented as an adjacency list and two nodes, start and end, determine if there is a path between the start and end nodes. Return 1 if a path exists, and 0 otherwise.",Medium,2025-03-16T17:17:14.927206+00:00,2025-03-16T17:17:14.927206+00:00,"[{""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [0, 2], ""2"": [0, 1, 3], ""3"": [2]}, ""start"": 0}, ""output"": 1}, {""input"": {""end"": 2, ""graph"": {""0"": [1], ""1"": [0, 2], ""2"": [1]}, ""start"": 0}, ""output"": 1}]","[""start and end nodes will be valid nodes in the graph."", ""0 <= number of nodes <= 100"", ""The graph is undirected."", ""The graph will contain nodes labeled from 0 to n-1, where n is the number of nodes.""]","[{""input"": {""end"": 3, ""graph"": {""0"": [1, 2], ""1"": [0, 2], ""2"": [0, 1, 3], ""3"": [2]}, ""start"": 0}, ""expected_output"": 1}, {""input"": {""end"": 2, ""graph"": {""0"": [1], ""1"": [0, 2], ""2"": [1]}, ""start"": 0}, ""expected_output"": 1}, {""input"": {""end"": 2, ""graph"": {""0"": [1], ""1"": [0]}, ""start"": 0}, ""expected_output"": 0}, {""input"": {""end"": 2, ""graph"": {""0"": [1, 2], ""1"": [0], ""2"": [0]}, ""start"": 1}, ""expected_output"": 1}, {""input"": {""end"": 2, ""graph"": {""0"": [], ""1"": [2], ""2"": [1]}, ""start"": 0}, ""expected_output"": 0}]"
